produto_id,sku,descricao,categoria,marca,custo_unitario,preco_lista,ativo
1,SKU0001,Isotônico Marca B 350ml,Isotônico,Marca B,2.22,3.6,True
2,SKU0002,Isotônico Marca D 269ml,Isotônico,Marca A,6.31,9.61,True
3,SKU0003,Água Marca B 2000ml,Água,Marca D,4.78,6.04,True
4,SKU0004,Chá Marca B 2000ml,Chá,Marca D,3.31,5.58,True
5,SKU0005,Água Marca A 269ml,Água,Marca D,2.9,4.73,True
6,SKU0006,Suco Marca D 1500ml,Suco,Marca A,5.42,8.96,True
7,SKU0007,Energético Marca C 1500ml,Energético,Marca B,2.01,2.81,True
8,SKU0008,Refrigerante Marca A 350ml,Refrigerante,Marca A,5.8,9.49,True
9,SKU0009,Energético Marca C 500ml,Energético,Marca B,5.63,8.06,True
10,SKU0010,Isotônico Marca B 1500ml,Isotônico,Marca B,7.59,11.95,True
11,SKU0011,Energético Marca B 2000ml,Energético,Marca C,3.25,5.57,True
12,SKU0012,Refrigerante Marca C 1000ml,Refrigerante,Marca C,2.99,3.79,True
13,SKU0013,Chá Marca D 1000ml,Chá,Marca D,7.2,10.13,True
14,SKU0014,Água Marca C 2000ml,Água,Marca D,3.1,4.75,True
15,SKU0015,Energético Marca B 1500ml,Energético,Marca D,3.85,6.73,True
16,SKU0016,Refrigerante Marca B 2000ml,Refrigerante,Marca D,7.1,9.42,True
17,SKU0017,Energético Marca C 1500ml,Energético,Marca A,3.98,6.96,True
18,SKU0018,Refrigerante Marca C 2000ml,Refrigerante,Marca C,5.93,9.0,True
19,SKU0019,Energético Marca C 1500ml,Energético,Marca B,2.53,3.17,True
20,SKU0020,Refrigerante Marca B 350ml,Refrigerante,Marca C,7.16,10.02,True
21,SKU0021,Chá Marca A 1500ml,Chá,Marca C,7.7,13.18,True
22,SKU0022,Refrigerante Marca C 350ml,Refrigerante,Marca A,7.54,12.74,True
23,SKU0023,Chá Marca D 269ml,Chá,Marca B,7.66,9.9,True
24,SKU0024,Energético Marca D 350ml,Energético,Marca B,7.65,10.19,True
25,SKU0025,Energético Marca D 1500ml,Energético,Marca D,7.97,12.55,True
26,SKU0026,Água Marca B 1500ml,Água,Marca B,1.92,2.42,False
27,SKU0027,Isotônico Marca A 500ml,Isotônico,Marca A,5.6,7.64,True
